iter	Passed	Remaining
0	2438	5750634
1	4807	5666055
2	7389	5803604
3	9582	5641647
4	11763	5538339
5	14115	5535497
6	15972	5366809
7	17978	5283426
8	20008	5224324
9	21978	5162738
10	24284	5183662
11	26886	5258511
12	28842	5204887
13	31182	5223005
14	33484	5232522
15	35663	5222498
16	38082	5246441
17	40747	5299503
18	43260	5327883
19	45556	5327815
20	47713	5312070
21	49914	5302263
22	52106	5292175
23	54501	5302526
24	57130	5333741
25	59635	5351121
26	62042	5358673
27	64658	5382823
28	66941	5378388
29	69555	5399853
30	71880	5397982
31	74094	5388084
32	76482	5390844
33	78849	5391910
34	81168	5389613
35	83282	5374017
36	85819	5385750
37	87914	5369715
38	90122	5361132
39	92582	5367496
40	94775	5358268
41	97014	5351944
42	99320	5349454
43	101674	5349477
44	104012	5348538
45	105448	5302232
46	106658	5246667
47	107889	5194439
48	109087	5142690
49	110401	5098341
50	111617	5051257
51	112679	4999057
52	113695	4946811
53	114763	4898687
54	115812	4851508
55	117045	4813498
56	118274	4776633
57	119270	4731742
58	120438	4695065
59	121706	4663393
60	123007	4633950
61	124436	4610153
62	125595	4577263
63	126852	4548861
64	127981	4516754
65	129541	4500600
66	130927	4478901
67	132635	4468657
68	134354	4459020
69	135992	4446939
70	137570	4433243
71	138837	4410027
72	140227	4391232
73	141456	4367942
74	142544	4340958
75	143595	4313527
76	144670	4287507
77	145661	4259668
78	146557	4229769
79	147320	4196802
80	148093	4164902
81	148962	4136437
82	149799	4107741
83	150610	4079024
84	151529	4053852
85	152500	4030617
86	153649	4012546
87	154856	3996361
88	155900	3976339
89	157257	3964641
90	158294	3945190
91	159428	3928523
92	160415	3908611
93	161487	3891155
94	162484	3872258
95	163441	3852801
96	164646	3839492
97	165645	3821670
98	166695	3805361
99	167761	3789741
100	168750	3772658
101	169809	3757461
102	170765	3740261
103	171767	3724372
104	172716	3707645
105	173615	3690157
106	174733	3677566
107	175739	3662865
108	176641	3646272
109	177791	3635025
110	178837	3621858
111	179891	3609070
112	180966	3596907
113	181984	3583822
114	182830	3567570
115	183926	3556440
116	184886	3542873
117	185845	3529482
118	186876	3517669
119	187880	3505533
120	188825	3492487
121	189887	3481798
122	190782	3468211
123	191812	3457259
124	192882	3447189
125	193898	3436316
126	194988	3426883
127	195960	3415528
128	196868	3403229
129	197944	3393990
130	199009	3384675
131	200139	3376599
132	201020	3364456
133	202100	3355780
134	202979	3343893
135	203904	3332932
136	204857	3322582
137	205793	3312078
138	207044	3306758
139	208119	3298696
140	209211	3291001
141	210173	3281373
142	211351	3275211
143	212337	3266158
144	213460	3259320
145	214596	3252756
146	215897	3248737
147	217020	3242112
148	218144	3235563
149	219178	3227763
150	220195	3219819
151	221355	3214027
152	222428	3207041
153	223437	3199219
154	224686	3194894
155	225885	3189904
156	226810	3181119
157	227410	3167913
158	228531	3162075
159	229648	3156231
160	230604	3148255
161	231679	3141970
162	232656	3134444
163	233615	3126746
164	234608	3119584
165	235735	3114266
166	236692	3106768
167	237584	3098500
168	238771	3094135
169	239773	3087430
170	240951	3083054
171	241949	3076418
172	242889	3069107
173	243928	3063121
174	245083	3058644
175	246076	3052181
176	247019	3045174
177	248035	3039131
178	249004	3032566
179	250045	3026938
180	251095	3021467
181	252089	3015383
182	253087	3009386
183	254247	3005368
184	255207	2999028
185	256127	2992286
186	257277	2988265
187	258298	2982798
188	259376	2978023
189	260314	2971695
190	261329	2966292
191	262245	2959821
192	263260	2954519
193	264239	2948853
194	265258	2943693
195	266181	2937507
196	267213	2932566
197	268361	2928939
198	269320	2923275
199	270468	2919706
200	271540	2915347
201	272658	2911503
202	273614	2905970
203	274520	2899960
204	275491	2894678
205	276460	2889419
206	277526	2885199
207	278647	2881588
208	279539	2875644
209	280812	2873645
210	281683	2867561
211	282662	2862620
212	283574	2857044
213	284600	2852652
214	285686	2848893
215	286885	2846271
216	287963	2842477
217	288904	2837361
218	290025	2834040
219	290950	2828832
220	291878	2823693
221	293050	2820945
222	294107	2817098
223	295144	2813098
224	296459	2811750
225	297467	2807512
226	298658	2805021
227	299749	2801610
228	300729	2797177
229	301644	2792174
230	302861	2789998
231	303969	2786825
232	305028	2783218
233	305917	2778098
234	306957	2774373
235	307976	2770486
236	309038	2767003
237	310196	2764394
238	311075	2759331
239	312273	2757114
240	313418	2754437
241	314440	2750701
242	315512	2747427
243	316444	2742953
244	317502	2739593
245	318528	2735977
246	319568	2732508
247	320427	2727508
248	321446	2723905
249	322527	2720838
250	323572	2717495
251	324610	2714106
252	325825	2712209
253	327002	2710004
254	328086	2707034
255	329129	2703746
256	330189	2700619
257	331131	2696537
258	332124	2692903
259	333174	2689739
260	334193	2686350
261	335229	2683115
262	336363	2680674
263	337428	2677698
264	338788	2677068
265	339643	2672454
266	340745	2669807
267	341601	2665256
268	342713	2662714
269	343766	2659733
270	344827	2656822
271	345970	2654557
272	347051	2651832
273	348236	2649899
274	349381	2647673
275	350344	2644081
276	351357	2640888
277	352633	2639673
278	353994	2639096
279	355752	2641461
280	356968	2639790
281	358036	2637030
282	359332	2635949
283	360610	2634743
284	362045	2634674
285	363742	2636495
286	365157	2636257
287	366873	2638177
288	368709	2640928
289	370289	2641821
